Date,Open,High,Low,Close,Adj Close,Volume
2001-04-27,14.888534,14.888534,14.179556,14.179556,5.591665,2040931
2001-04-30,14.415882,14.888534,14.415882,14.415882,5.684859,1422928
2001-05-01,14.415882,14.415882,14.415882,14.415882,5.684859,0
2001-05-02,14.415882,14.888534,14.179556,14.415882,5.684859,1168090
2001-05-03,14.415882,14.652208,14.415882,14.415882,5.684859,414258
2001-05-04,14.415882,14.888534,14.415882,14.652208,5.778054,2029823
2001-05-07,14.652208,14.652208,14.652208,14.652208,5.778054,0
2001-05-08,14.652208,14.652208,14.652208,14.652208,5.778054,0
2001-05-09,14.652208,14.888534,14.415882,14.652208,5.778054,8894
2001-05-10,14.888534,14.888534,14.652208,14.652208,5.778054,9785
2001-05-11,14.652208,15.124860,14.415882,14.652208,5.778054,25475
2001-05-14,14.652208,14.652208,14.415882,14.415882,5.684859,3476
2001-05-15,14.415882,14.652208,14.415882,14.415882,5.684859,3551
2001-05-16,14.652208,14.652208,14.179556,14.179556,5.591665,6141
2001-05-17,14.415882,14.652208,14.179556,14.415882,5.684859,3449
2001-05-18,14.415882,14.415882,14.179556,14.415882,5.684859,2752
2001-05-21,14.415882,14.415882,13.943230,14.179556,5.591665,3970
2001-05-22,14.179556,14.179556,14.179556,14.179556,5.591665,4950
2001-05-23,14.179556,14.888534,14.179556,14.652208,5.778054,2755410
2001-05-24,14.652208,15.124860,14.415882,14.888534,5.871248,1588484
2001-05-25,15.124860,15.361186,14.652208,14.652208,5.778054,2556321
2001-05-28,14.888534,15.124860,14.888534,15.124860,5.964443,711305
2001-05-29,15.124860,15.124860,14.415882,14.652208,5.778054,1234629
2001-05-30,14.415882,14.652208,14.415882,14.415882,5.684859,399025
2001-05-31,14.415882,14.652208,14.179556,14.415882,5.684859,312809
2001-06-01,14.652208,14.652208,14.415882,14.415882,5.684859,380512
2001-06-04,14.652208,14.888534,14.415882,14.415882,5.684859,132232
2001-06-05,14.652208,14.652208,14.179556,14.179556,5.591665,321695
2001-06-06,14.415882,14.415882,13.943230,13.943230,5.498470,745368
2001-06-07,14.179556,14.179556,13.706904,13.943230,5.498470,451600
2001-06-08,13.943230,14.179556,13.943230,14.179556,5.591665,495502
2001-06-11,14.179556,14.179556,13.706904,13.943230,5.498470,373424
2001-06-12,13.943230,14.179556,13.943230,13.943230,5.498470,352056
2001-06-13,13.943230,14.888534,13.943230,14.652208,5.778054,3907421
2001-06-14,14.652208,14.888534,14.415882,14.888534,5.871248,3266780
2001-06-15,14.652208,15.124860,14.652208,14.888534,5.871248,3423978
2001-06-18,14.888534,15.124860,14.179556,14.179556,5.591665,1447153
2001-06-19,14.415882,14.415882,14.179556,14.415882,5.684859,745897
2001-06-20,14.415882,14.415882,13.943230,13.943230,5.498470,448744
2001-06-21,14.179556,14.415882,14.179556,14.179556,5.591665,521313
2001-06-22,14.179556,14.415882,14.179556,14.179556,5.591665,114037
2001-06-25,14.179556,14.415882,14.179556,14.415882,5.684859,51940
2001-06-26,14.415882,14.652208,14.179556,14.415882,5.684859,669414
2001-06-27,14.415882,14.415882,14.415882,14.415882,5.684859,268273
2001-06-28,14.415882,14.415882,14.179556,14.179556,5.591665,480586
2001-06-29,14.415882,14.652208,14.179556,14.415882,5.684859,921714
2001-07-02,14.415882,14.652208,14.415882,14.415882,5.684859,228921
2001-07-03,14.415882,14.888534,14.415882,14.415882,5.684859,3804702
2001-07-04,14.652208,15.361186,14.652208,14.652208,5.778054,9991074
2001-07-05,14.888534,14.888534,14.415882,14.652208,5.778054,4178445
2001-07-06,14.652208,14.652208,14.652208,14.652208,5.778054,0
2001-07-09,14.415882,14.652208,14.179556,14.415882,5.684859,782288
2001-07-10,14.415882,14.415882,13.943230,14.179556,5.591665,1102608
2001-07-11,13.943230,14.179556,13.234252,13.470578,5.312082,1212308
2001-07-12,13.470578,13.706904,13.234252,13.706904,5.405276,886275
2001-07-13,13.706904,13.706904,12.997926,13.470578,5.312082,1678402
2001-07-16,13.470578,13.470578,12.997926,13.234252,5.218887,209350
2001-07-17,13.234252,13.706904,13.234252,13.470578,5.312082,325609
2001-07-18,13.470578,13.706904,13.234252,13.706904,5.405276,865859
2001-07-19,13.706904,13.943230,13.470578,13.706904,5.405276,1463550
2001-07-20,13.943230,13.943230,13.234252,13.234252,5.218887,624878
2001-07-23,13.234252,13.470578,13.234252,13.470578,5.312082,372367
2001-07-24,13.234252,13.706904,13.234252,13.706904,5.405276,413517
2001-07-25,13.706904,13.706904,13.470578,13.470578,5.312082,465670
2001-07-26,13.706904,13.706904,13.234252,13.234252,5.218887,440704
2001-07-27,13.234252,13.470578,13.234252,13.470578,5.312082,313021
2001-07-30,13.234252,13.234252,13.234252,13.234252,5.218887,135406
2001-07-31,13.234252,13.234252,13.234252,13.234252,5.218887,297470
2001-08-01,13.470578,13.470578,13.234252,13.470578,5.312082,160265
2001-08-02,13.234252,13.706904,13.234252,13.706904,5.405276,385272
2001-08-03,13.706904,14.415882,13.706904,14.415882,5.684859,2349403
2001-08-06,14.888534,14.888534,13.943230,13.943230,5.498470,2561610
2001-08-07,13.943230,14.652208,13.943230,14.179556,5.591665,1189458
2001-08-08,14.179556,14.415882,14.179556,14.415882,5.684859,461333
2001-08-09,14.179556,14.415882,13.943230,13.943230,5.498470,294614
2001-08-10,14.179556,14.179556,13.470578,13.943230,5.498470,730664
2001-08-13,13.943230,13.943230,13.943230,13.943230,5.498470,0
2001-08-14,13.943230,13.943230,13.706904,13.943230,5.498470,108324
2001-08-15,13.943230,14.415882,13.943230,14.415882,5.684859,319050
2001-08-16,14.415882,14.415882,13.943230,13.943230,5.498470,374377
2001-08-17,14.415882,14.652208,14.179556,14.179556,5.591665,2677869
2001-08-20,14.179556,14.652208,13.943230,14.179556,5.591665,797415
2001-08-21,14.415882,14.415882,13.943230,13.943230,5.498470,2164066
